sample_id,label,dark_frac,vert_strokes_count,horiz_strokes_count,aspect_ratio,compactness,num_contours,cc_count,col_peaks,row_peaks,vertical_intensity_variance,gap_depth_index,intensity_fluctuation_ratio,column_intensity_entropy,frequency_white,average_peak_width
NUM_114,NUMBER,0.01171875,1,1,0.1,0.5740740740740741,1,9,4,2,82.42002868652344,0.35580626130104065,0.006239276654946316,0.0,0.915,0.03125
NUM_115,NUMBER,0.01515625,1,1,0.09999999999999999,0.5025641025641026,1,6,7,2,120.23860168457031,0.3143017888069153,0.009055428462076543,0.0,0.875,0.04125
NUM_116,NUMBER,0.02078125,1,2,0.0909090909090909,0.5116883116883116,1,7,5,2,167.73208618164062,0.3013495206832886,0.009892499329460049,0.0,0.875,0.035
NUM_117,NUMBER,0.010625,1,2,0.11111111111111112,0.4874551971326165,1,4,5,2,82.62640380859375,0.19446521997451782,0.004781680514306613,0.0,0.92,0.05
NUM_118,NUMBER,0.01859375,1,2,0.1,0.6114285714285714,1,8,5,2,176.7534942626953,0.36914461851119995,0.009986988072183308,0.0,0.885,0.033
NUM_119,NUMBER,0.01296875,1,1,0.09999999999999999,0.3894736842105263,1,5,5,2,94.36189270019531,0.37735849618911743,0.006847155485087969,0.0,0.89,0.0375
NUM_120,NUMBER,0.0090625,1,2,0.1111111111111111,0.4479166666666667,1,3,5,2,76.89227294921875,0.24664226174354553,0.006175733825322267,0.0,0.94,0.03
NUM_121,NUMBER,0.009375,1,1,0.1,0.46774193548387094,1,9,3,2,68.87708282470703,0.29909420013427734,0.005628246372034019,0.0,0.91,0.0325
NUM_122,NUMBER,0.0159375,1,1,0.09999999999999999,0.5487179487179488,1,8,8,2,118.99693298339844,0.2701207399368286,0.009416661151832989,0.0,0.875,0.035
NUM_123,NUMBER,0.0178125,1,1,0.0909090909090909,0.42115027829313545,1,10,7,2,165.00340270996094,0.19165031611919403,0.011732175734494242,0.0,0.885,0.029166666666666664
NUM_124,NUMBER,0.01609375,1,2,0.08333333333333333,0.5833333333333334,1,7,5,3,147.66986083984375,0.43727827072143555,0.008940636840809204,0.0,0.895,0.031
NUM_125,NUMBER,0.013125,1,1,0.1,0.6454545454545455,1,4,2,2,129.31459045410156,0.5680130124092102,0.00621198476962999,0.0,0.925,0.035
NUM_126,NUMBER,0.006875,1,1,0.11111111111111112,0.43727598566308246,1,4,5,2,52.18856430053711,0.2626905143260956,0.005437976141855824,0.0,0.925,0.035
NUM_127,NUMBER,0.01390625,1,1,0.09999999999999999,0.3868421052631579,1,4,5,2,102.23648071289062,0.35520341992378235,0.008191473919972858,0.0,0.885,0.03875
NUM_128,NUMBER,0.02109375,1,4,0.1111111111111111,0.5432098765432098,1,11,11,2,161.0889129638672,0.31109052896499634,0.016477220743808398,0.0,0.835,0.03357142857142857
NUM_129,NUMBER,0.02,1,1,0.0909090909090909,0.5194805194805194,1,7,5,3,186.4611358642578,0.2926434576511383,0.011369819245581123,0.0,0.875,0.04125
NUM_130,NUMBER,0.01109375,1,1,0.09999999999999999,0.36470588235294116,1,9,6,2,82.42704772949219,0.4030810296535492,0.007640545739476141,0.0,0.91,0.03125
NUM_131,NUMBER,0.01046875,1,2,0.1,0.732,1,3,5,2,74.87551879882812,0.23345769941806793,0.005174030263460386,0.0,0.91,0.04
NUM_132,NUMBER,0.01578125,1,1,0.1111111111111111,0.5873015873015873,1,8,5,2,122.83554077148438,0.3555854856967926,0.008000376293568836,0.0,0.88,0.034
NUM_133,NUMBER,0.02265625,1,1,0.1,0.4648148148148148,1,10,9,1,197.80223083496094,0.24385131895542145,0.01449775731562627,0.0,0.835,0.0375
NUM_134,NUMBER,0.01171875,1,2,0.1111111111111111,0.6481481481481481,1,7,4,2,81.86323547363281,0.3742155432701111,0.006125911946868878,0.0,0.925,0.03333333333333333
NUM_135,NUMBER,0.01359375,1,1,0.1111111111111111,0.6570048309178744,1,3,4,1,89.77153015136719,0.14117109775543213,0.005127794140596031,0.0,0.89,0.065
NUM_136,NUMBER,0.01515625,1,1,0.07142857142857142,0.3961038961038961,1,10,5,3,125.32574462890625,0.10605581849813461,0.009302151151069303,0.0,0.92,0.026000000000000002
NUM_137,NUMBER,0.013125,1,1,0.1111111111111111,0.5679012345679012,1,4,5,2,90.52660369873047,0.39227494597435,0.006570725775097712,0.0,0.915,0.03125
NUM_138,NUMBER,0.0075,1,1,0.1111111111111111,0.5333333333333333,1,4,5,2,68.37133026123047,0.3310834765434265,0.007435431357463407,0.0,0.945,0.035
NUM_139,NUMBER,0.018125,1,1,0.09999999999999999,0.5696969696969697,1,5,4,1,185.57382202148438,0.4103992283344269,0.010993028053630893,0.0,0.905,0.03375
NUM_140,NUMBER,0.01609375,1,1,0.11111111111111112,0.45340501792114696,1,14,10,2,98.18621826171875,0.21312126517295837,0.010489724012488174,0.0,0.82,0.0325
NUM_141,NUMBER,0.0134375,1,1,0.1111111111111111,0.5065359477124183,1,6,6,2,91.23340606689453,0.3029789924621582,0.007984814532168604,0.0,0.895,0.031
NUM_142,NUMBER,0.00703125,1,1,0.125,0.4296875,1,8,6,1,45.86637878417969,0.2724972367286682,0.005521907178267888,0.0,0.94,0.022000000000000002
NUM_143,NUMBER,0.01234375,1,1,0.09999999999999999,0.47368421052631576,1,4,5,3,89.70471954345703,0.24753731489181519,0.006045576649530291,0.0,0.88,0.04
NUM_144,NUMBER,0.01765625,1,1,0.09999999999999999,0.49767441860465117,1,8,6,3,122.73492431640625,0.22973184287548065,0.009328915850238874,0.0,0.865,0.037000000000000005
NUM_145,NUMBER,0.01453125,1,1,0.09090909090909091,0.42727272727272725,1,9,6,2,101.44253540039062,0.16198517382144928,0.008824299945227584,0.0,0.875,0.035
NUM_146,NUMBER,0.02171875,1,2,0.1111111111111111,0.5810185185185185,1,12,11,2,147.0940399169922,0.3247493505477905,0.013769769949979662,0.0,0.83,0.042
NUM_147,NUMBER,0.01953125,1,2,0.09999999999999999,0.5019607843137255,1,12,9,2,166.9191436767578,0.21410493552684784,0.012992682794772755,0.0,0.845,0.035833333333333335
NUM_148,NUMBER,0.015,1,1,0.1111111111111111,0.6158730158730159,1,15,7,2,106.40980529785156,0.3076629638671875,0.007980227332604388,0.0,0.87,0.036000000000000004
NUM_149,NUMBER,0.0215625,1,2,0.1,0.5068181818181818,1,8,6,2,186.92062377929688,0.2005838304758072,0.011873023649607543,0.0,0.865,0.0325
NUM_150,NUMBER,0.0121875,1,1,0.1111111111111111,0.5723905723905723,1,5,6,1,114.98066711425781,0.278653085231781,0.0075179000750518025,0.0,0.915,0.03833333333333334
NUM_151,NUMBER,0.01109375,1,1,0.1111111111111111,0.48484848484848486,1,3,5,0,107.44200897216797,0.1204635500907898,0.00669100424088765,0.0,0.925,0.0475
NUM_152,NUMBER,0.0259375,1,1,0.09090909090909091,0.5266955266955267,1,19,12,2,214.68385314941406,0.1804700493812561,0.017327382610352222,0.0,0.8,0.03857142857142857
NUM_153,NUMBER,0.01515625,1,2,0.0909090909090909,0.45714285714285713,1,7,5,1,111.15258026123047,0.30727872252464294,0.009232627304539333,0.0,0.88,0.034
NUM_154,NUMBER,0.01875,1,4,0.1,0.6114285714285714,1,10,7,2,142.5368194580078,0.3027762174606323,0.010349487301308642,0.0,0.875,0.035
NUM_155,NUMBER,0.018125,1,1,0.09999999999999999,0.5196078431372549,1,11,8,2,125.91814422607422,0.26140230894088745,0.011017404265011226,0.0,0.85,0.035
NUM_156,NUMBER,0.01453125,1,2,0.125,0.5388888888888889,1,14,9,2,107.55238342285156,0.42004847526550293,0.011540052738991446,0.0,0.89,0.025
NUM_157,NUMBER,0.01984375,1,1,0.09999999999999999,0.45294117647058824,1,9,7,3,137.2843780517578,0.29176729917526245,0.011775509715990515,0.0,0.84,0.03666666666666667
NUM_158,NUMBER,0.01078125,1,1,0.1111111111111111,0.5217391304347826,1,6,4,1,68.74982452392578,0.3210766613483429,0.0055334401741015575,0.0,0.91,0.0325
NUM_159,NUMBER,0.02015625,1,1,0.09999999999999999,0.4523809523809524,1,11,9,2,189.7884521484375,0.2680465281009674,0.016430013398645086,0.0,0.855,0.030714285714285715
NUM_160,NUMBER,0.0146875,1,1,0.09999999999999999,0.3862745098039216,1,13,7,2,102.51148223876953,0.13287118077278137,0.008546075279845917,0.0,0.88,0.03
NUM_161,NUMBER,0.01703125,1,1,0.09999999999999999,0.48604651162790696,1,13,7,2,119.77703094482422,0.2894613742828369,0.008728487779429852,0.0,0.87,0.03166666666666666
NUM_162,NUMBER,0.01671875,1,1,0.09999999999999999,0.5815789473684211,1,7,6,2,141.3922119140625,0.2879084050655365,0.009803429060537673,0.0,0.87,0.036000000000000004
NUM_163,NUMBER,0.0084375,1,1,0.1111111111111111,0.4088888888888889,1,4,3,0,57.90571212768555,0.22908030450344086,0.00537011280973863,0.0,0.935,0.03166666666666666
NUM_164,NUMBER,0.01984375,1,1,0.1,0.5018518518518519,1,15,11,2,158.57215881347656,0.14847782254219055,0.013593145381633984,0.0,0.86,0.03333333333333333
NUM_165,NUMBER,0.01859375,1,1,0.09999999999999999,0.5235294117647059,1,16,8,2,123.60589599609375,0.15588265657424927,0.010079692156693208,0.0,0.845,0.035833333333333335
NUM_166,NUMBER,0.00875,1,1,0.09090909090909091,0.4405594405594406,1,7,5,2,90.14909362792969,0.1329830139875412,0.006364026142562508,0.0,0.92,0.03
NUM_167,NUMBER,0.01109375,1,1,0.09999999999999999,0.4323529411764706,1,7,7,3,103.36498260498047,0.2061665952205658,0.00824539325981584,0.0,0.92,0.03
NUM_168,NUMBER,0.01265625,1,2,0.11111111111111112,0.5663082437275986,1,6,4,2,95.32804870605469,0.30251187086105347,0.007319600417419835,0.0,0.885,0.04666666666666667
NUM_169,NUMBER,0.01140625,1,2,0.11111111111111112,0.671957671957672,1,3,4,1,93.65699005126953,0.350431889295578,0.006091319032632686,0.0,0.925,0.035
NUM_170,NUMBER,0.00703125,1,1,0.125,0.65625,1,4,4,2,68.18488311767578,0.5757255554199219,0.007275615964716532,0.0,0.945,0.0325
NUM_171,NUMBER,0.01109375,1,1,0.0909090909090909,0.412987012987013,1,8,4,2,85.61959838867188,0.3048287630081177,0.007300683605670688,0.0,0.915,0.03125
NUM_172,NUMBER,0.01203125,1,1,0.08333333333333333,0.3994252873563218,1,6,6,2,112.58969116210938,0.4194333255290985,0.011313288700674837,0.0,0.92,0.026000000000000002
NUM_173,NUMBER,0.0096875,1,1,0.1111111111111111,0.5333333333333333,1,9,3,2,59.816017150878906,0.5278282165527344,0.003777792280481726,0.0,0.915,0.03833333333333334
NUM_174,NUMBER,0.02078125,1,2,0.09999999999999999,0.49047619047619045,1,10,12,1,156.8538055419922,0.2704053521156311,0.015101604762300703,0.0,0.855,0.02857142857142857
NUM_175,NUMBER,0.01421875,1,1,0.09090909090909091,0.4988344988344988,1,12,6,2,108.96641540527344,0.3901905417442322,0.008850709794236156,0.0,0.875,0.035
NUM_176,NUMBER,0.014375,1,2,0.09090909090909091,0.6206896551724138,1,5,7,2,119.64488220214844,0.36253559589385986,0.008869783328338678,0.0,0.89,0.032
NUM_177,NUMBER,0.01140625,1,1,0.1111111111111111,0.6064814814814815,1,5,5,2,70.11991119384766,0.2725602090358734,0.00578863353501272,0.0,0.91,0.0325
NUM_178,NUMBER,0.01390625,1,1,0.09090909090909091,0.5893416927899686,1,6,5,3,118.65116882324219,0.35998016595840454,0.00801116251126853,0.0,0.885,0.03875
NUM_179,NUMBER,0.01390625,1,2,0.1,0.34324324324324323,1,7,5,3,94.20113372802734,0.14962449669837952,0.007069925331475429,0.0,0.89,0.0375
NUM_180,NUMBER,0.02140625,1,4,0.1111111111111111,0.6172839506172839,1,6,10,2,162.98780822753906,0.38620269298553467,0.011734249923277472,0.0,0.865,0.036000000000000004
NUM_181,NUMBER,0.0084375,1,1,0.0909090909090909,0.3606060606060606,1,6,3,1,69.82244873046875,0.1758737415075302,0.005454048323580388,0.0,0.915,0.03833333333333334
