character,variant,mass,center_x,center_y,second_moment,sobel_mean_magnitude,sobel_std_magnitude,aspect_ratio,vertical_intensity_variance,num_contours,hole_count,avg_euler_number,avg_contour_solidity,avg_contour_area,compactness,cc_count,avg_cc_area,cc_area_std,left_sum,right_sum,top_sum,bottom_sum,avgs,avg_1,avg_2,avg_3,avg_4,avg_5,avg_6,avg_7,avg_8
4,106,62,0.27419354838709675,1.1129032258064515,496.171688079834,25.336275374340396,79.83554205462372,1.0,121.50469589233398,1,0,1.0,0.9701492537313433,32.5,0.7672869965994044,1,44.0,0.0,571,1872,695,1099,,15.6,49.267,64.467,16.5,46.5,94.167,108.833,52.625
4,107,57,0.11403508771929824,1.236842105263158,537.5805807113647,27.413124195641625,90.39968281517547,1.0,112.03074550628662,1,0,1.0,0.8157894736842105,31.0,0.6079390202893604,1,43.0,0.0,825,1532,588,1338,,10.467,43.4,100.067,18.5,41.667,68.667,109.333,45.875
4,108,79,0.7531645569620253,-0.33544303797468356,542.7807464599609,28.722029491704664,81.25631046649637,1.0,155.06822204589844,1,0,1.0,0.9509803921568627,48.5,0.7384875558029562,1,62.0,0.0,645,1970,514,803,,7.2,39.3,68.333,14.067,47.1,78.05,92.4,48.6
4,109,57,0.23684210526315788,1.043859649122807,531.019287109375,26.437740079116594,86.58561853454114,1.0,127.55419921875,1,0,1.0,0.9701492537313433,32.5,0.7672869965994044,1,44.0,0.0,562,1941,710,1135,,14.6,48.4,65.0,14.0,47.083,96.0,112.583,52.75
4,110,68,0.9705882352941176,1.5441176470588236,632.1657552719116,30.553242761967283,93.5977688060901,1.0,141.51270961761475,1,0,1.0,0.8375,33.5,0.6445506597818651,1,45.0,0.0,589,1743,620,778,,3.2,24.8,87.867,10.0,43.467,80.2,124.0,52.533
4,111,79,0.7531645569620253,-0.33544303797468356,536.4268712997437,28.42486509158705,79.86235530289021,1.0,153.87746334075928,1,0,1.0,0.9509803921568627,48.5,0.7384875558029562,1,62.0,0.0,645,1956,512,806,,7.4,39.45,67.867,14.533,46.8,78.25,92.067,48.533
4,112,61,0.12295081967213115,1.2049180327868851,472.4654197692871,25.117357373566502,77.48992625540784,1.0,104.38546371459961,1,0,1.0,0.8461538461538461,33.0,0.6471608925660934,1,45.0,0.0,799,1486,559,1284,,12.133,45.4,94.4,25.7,39.417,67.833,102.5,48.0
4,113,75,0.8333333333333334,0.15333333333333332,519.6244468688965,27.74464543791855,77.07922745963523,1.0,139.02935409545898,1,0,1.0,0.8901098901098901,40.5,0.6702264155759212,1,53.0,0.0,651,1668,256,749,,3.8,33.75,75.933,10.667,29.4,78.2,98.933,51.933
4,114,66,0.9545454545454546,1.5757575757575757,420.95242977142334,24.073513734928696,71.36159790254278,1.0,111.75427913665771,1,0,1.0,0.9157894736842105,43.5,0.7022737632364312,1,57.0,0.0,821,1688,631,730,,16.867,54.133,74.067,18.467,37.417,72.833,88.5,56.917
4,115,58,0.27586206896551724,1.1206896551724137,507.4996557235718,25.704803229055926,82.11216488563382,1.0,123.5184850692749,1,0,1.0,0.9701492537313433,32.5,0.7672869965994044,1,44.0,0.0,564,1894,699,1110,,15.2,49.0,64.533,15.4,46.667,94.75,110.083,52.625
