Country,Country_Code,Fertility_2010,Migration_Rate_2010,GDP_Growth_2010,Life_Expectancy_2010,Population_Change_Percent,Score_V1,Score_V2,Predicted_Group,Actual_Group
Papua New Guinea,PNG,3.883,6.563941708173277,6.85231014831385,63.056,25.879099335916063,2.2355189522415335,2.719794005594261,High Growth,High Growth
Paraguay,PRY,2.695,-4.560671359266194,9.80314731436218,72.551,13.542888243945464,-0.7645014692381953,0.09438758897354593,Stable,Moderate Growth
Peru,PER,2.421,-6.23330404893155,7.6277436246787,72.886,11.563232493247014,-1.1519658333223828,-0.5692481266694069,Stable,Moderate Growth
Philippines,PHL,3.315,0.1407141846925575,5.15869430276467,68.883,15.017635205534729,0.5428015120797893,0.8120690340466006,Moderate Growth,High Growth
Poland,POL,1.41,3.144432556662373,3.46400853867873,76.2463414634146,-0.20324216985745056,-1.3203924702823777,-1.2662683077548023,Low Growth,Stable
Portugal,PRT,1.39,-0.5321996387057722,1.69092746716328,79.0268292682927,-2.712894042428427,-2.017429319368019,-2.188400939414451,Low Growth,Declining
Post-demographic dividend,PST,1.66079042885459,3.0699288712647474,2.40529797491564,79.6785405516336,3.5958704728787874,-1.5605010420871195,-1.6407820608555899,Low Growth,Low Growth
Pre-demographic dividend,PRE,5.68740273604675,-1.054273663483481,3.5175865091196,57.1219983597813,29.287521532972093,3.414527060212974,3.4754530409872504,Moderate Growth,High Growth
Puerto Rico (US),PRI,1.6235,-8.312603286646539,0.0130918561743698,78.717,-11.324418406401994,-2.5786722837490315,-2.9626481064534325,Low Growth,Declining
Qatar,QAT,2.137,56.047876340893794,19.0058466072559,79.444,63.19920684400111,3.9362196478940126,5.963407681491395,Stable,High Growth
Romania,ROU,1.59,-6.043600514864742,-3.33335291355054,73.4585365853659,-4.322756834870929,-1.7638131150566174,-2.5726260286212255,Declining,Declining
Russian Federation,RUS,1.567,2.153000667807877,4.45309639834757,68.8412195121951,1.822774026711811,-0.44125096730476826,-0.2615603490841558,Stable,Stable
Rwanda,RWA,4.522,-2.8593020069778174,4.65979796365141,62.804,23.828809020898657,1.7826615290897256,1.9885932771429256,Stable,High Growth
Samoa,WSM,4.52,-16.562793035026914,5.29451664588825,71.451,8.681348854799687,-0.5647314786324792,-0.27822106963269827,Stable,Moderate Growth
San Marino,SMR,1.459,17.79380823564773,-6.05328650752219,83.464,4.186955214908326,-0.7111539559445363,-1.865267256908292,Low Growth,Low Growth
Sao Tome and Principe,STP,4.769,-8.410248512117578,-0.755150615358019,63.867,17.376046468135662,1.2860293036907167,0.8045237384865147,Stable,High Growth
Saudi Arabia,SAU,2.81,21.058668130311975,6.08720360847519,75.616,25.378215064194837,1.4424895361403194,1.8296329590762401,Moderate Growth,High Growth
Senegal,SEN,5.055,-5.531121143408609,0.952269607225944,64.221,29.421349345684227,1.7179675715276093,1.4532220278246994,Stable,High Growth
Serbia,SRB,1.4,0.4981186147694364,2.02027692991339,74.3365853658537,-4.7480496297300006,-1.3601128104290172,-1.4892729328236798,Stable,Declining
Seychelles,SYC,2.16,8.24328840369834,1.62737013590673,73.1975609756098,8.750139244736548,0.04093800132217856,-0.13810233450230894,Stable,Moderate Growth
Sierra Leone,SLE,5.327,1.282880749460766,3.5002192188053,51.927,24.254320542451413,4.007050368517591,4.065771541024897,High Growth,High Growth
Singapore,SGP,1.15,14.29482588405297,12.5085215498552,81.5414634146342,12.3472540996846,-1.034807741816186,0.16753336744778013,Low Growth,Moderate Growth
Sint Maarten (Dutch part),SXM,1.848,-0.710185239983429,2.2746924085417,74.821,19.50346215304492,-1.230781014303568,-1.327642641056498,Declining,High Growth
Slovak Republic,SVK,1.43,-0.33646002506200584,6.69110844613654,75.1121951219512,1.1633096092538007,-1.5118858372536752,-1.0480756255186243,Low Growth,Stable
Slovenia,SVN,1.57,-0.2001383395254183,0.672167911403392,79.4219512195122,1.9429039487294388,-1.9095758670559921,-2.2098808171697977,Low Growth,Stable
Small states,SST,2.56685568430678,-2.2937434566889707,1.26517472117887,69.6933118913694,9.777965542355137,-0.2957314199145782,-0.5207531051723447,Stable,Moderate Growth
Solomon Islands,SLB,4.341,9.456477687215742,6.65633575453435,68.669,36.62114798637066,2.1681059189686063,2.627501675914114,High Growth,High Growth
"Somalia, Fed. Rep.",SOM,7.322,-7.2133224637645705,4.0791048970797,48.9,30.739602060259557,4.888746749732867,5.020958484440293,Stable,High Growth
South Africa,ZAF,2.445,1.3098527662675554,1.82804672464107,58.886,13.838886867965186,1.2401239889830693,1.0865599015440155,Stable,Moderate Growth
South Asia,SAS,2.56574779030977,-1.0569154793367912,6.72705848207893,67.3525068406787,11.103781255185888,0.0983876823744752,0.5667618148484124,Moderate Growth,Moderate Growth
South Asia (IDA & IBRD),TSA,2.56574779030977,-1.0569154793367912,6.72705848207893,67.3525068406787,11.103781255185888,0.0983876823744752,0.5667618148484124,Moderate Growth,Moderate Growth
South Sudan,SSD,5.318,30.720648868304618,0.0553052206663267,57.485,6.950895412690786,6.208378339818341,5.8297615785060275,High Growth,Low Growth
Spain,ESP,1.37,1.4901379110763864,-0.365660089983677,81.6268292682927,1.1628168359948925,-2.139660330648014,-2.5717193837762817,Low Growth,Stable
Sri Lanka,LKA,2.134,-4.696565065650135,7.38142864786508,74.463,4.425054177411668,-1.3822282141735507,-0.8307806301090314,Stable,Low Growth
St. Kitts and Nevis,KNA,1.762,-9.584596336933783,0.0951505914335229,71.452,0.22627332109465056,-1.7557661156727866,-2.1293244365906476,Declining,Stable
St. Lucia,LCA,1.673,-0.9946988402981757,-0.278750187807233,72.768,3.952465097773045,-1.1360575915223876,-1.5570832786314037,Declining,Low Growth
St. Vincent and the Grenadines,VCT,2.144,-12.468283632990477,-3.99351095016873,70.66,-5.267417855746233,-1.6841089465588064,-2.5767300921678093,Stable,Declining
Sub-Saharan Africa,SSF,5.32483728093835,-0.8087582054597571,3.13213058184955,57.1070604462138,27.345264192627667,3.1944576275651997,3.206449295639108,Moderate Growth,High Growth
Sub-Saharan Africa (IDA & IBRD countries),TSS,5.32483728093835,-0.8087582054597571,3.13213058184955,57.1070604462138,27.345264192627667,3.1944576275651997,3.206449295639108,Moderate Growth,High Growth
Sub-Saharan Africa (excluding high income),SSA,5.32986470328555,-1.000601497411368,2.96386596947667,56.8122732906384,27.29250796591023,3.2138241240074654,3.2044543015042883,Moderate Growth,High Growth
Sudan,SDN,5.141,-9.585536097901873,0.758886048751407,62.979,28.614846746375676,1.528138804990111,1.2388428760109276,Stable,High Growth
Suriname,SUR,2.688,-2.0693806223780418,3.95347703289852,69.626,10.155058071766412,-0.18394907490728285,-0.0676860200742608,Stable,Moderate Growth
Sweden,SWE,1.98,5.456847135557786,4.853016846231,81.4512195121951,9.604914670585574,-1.3203728019672427,-1.0899115745343129,Low Growth,Moderate Growth
Switzerland,CHE,1.52,9.762158256409116,2.17363798688378,82.2463414634147,9.589517271063471,-1.3071459278574635,-1.4168365924311017,Low Growth,Moderate Growth
Syrian Arab Republic,SYR,3.355,-2.4178445906693056,2.82697106833621,73.542,-9.46911811677221,-0.22542855105247073,-0.2521774237286136,Stable,Declining
Tajikistan,TJK,3.457,-4.408308733464268,4.24657467143167,68.37,24.53986407202899,0.2573136687593679,0.4107859879492781,Stable,High Growth
Tanzania,TZA,5.225,-2.7261868184644666,3.67041498018565,61.127,32.20931636475298,2.4687572532988993,2.5490850791703092,Stable,High Growth
Thailand,THA,1.562,0.7697787356028112,6.79479928649167,75.012,4.291116549831613,-1.3032191096332428,-0.8262451620541533,Low Growth,Low Growth
Timor-Leste,TLS,4.816,0.4333079187483117,6.7211928053722,63.66,19.938249011919655,2.2012730079392298,2.6689024823657492,High Growth,High Growth
Togo,TGO,5.087,-0.29171537253865154,3.01287149732366,57.227,25.703005826880887,3.0694516207783105,3.066303136835667,Moderate Growth,High Growth
Tonga,TON,3.879,-19.52513966480447,0.639458308941471,71.319,-1.6117318435754189,-1.2713548518222813,-1.5758123439050546,Stable,Stable
Trinidad and Tobago,TTO,1.614,-1.6923247381449995,2.72667409792857,71.809,3.5114599981483083,-1.1312572984217024,-1.1707390491407053,Declining,Low Growth
Tunisia,TUN,2.075,-1.3159972431678304,1.86835635362381,74.438,10.301904703519792,-1.0908687630886764,-1.2393154717305033,Declining,Moderate Growth
