Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
Burkina Faso,BFA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.184
Burkina Faso,BFA,Net migration,SM.POP.NETM,-25240
Burundi,BDI,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.271
Burundi,BDI,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-1.47633483230206
Burundi,BDI,Population growth (annual %),SP.POP.GROW,3.28367531420808
Burundi,BDI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.18
Burundi,BDI,Net migration,SM.POP.NETM,14253
Cabo Verde,CPV,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.698
Cabo Verde,CPV,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,6.80449531732363
Cabo Verde,CPV,Population growth (annual %),SP.POP.GROW,0.134109462358547
Cabo Verde,CPV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.449
Cabo Verde,CPV,Net migration,SM.POP.NETM,-4001
Cambodia,KHM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.725
Cambodia,KHM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,6.58272364852731
Cambodia,KHM,Population growth (annual %),SP.POP.GROW,1.26258301009769
Cambodia,KHM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.127
Cambodia,KHM,Net migration,SM.POP.NETM,-57268
Cameroon,CMR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.651
Cameroon,CMR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.636415290549962
Cameroon,CMR,Population growth (annual %),SP.POP.GROW,2.78164441246944
Cameroon,CMR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.695
Cameroon,CMR,Net migration,SM.POP.NETM,-12255
Canada,CAN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.47
Canada,CAN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.429657601305934
Canada,CAN,Population growth (annual %),SP.POP.GROW,1.46171259938134
Canada,CAN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.1636585365854
Canada,CAN,Net migration,SM.POP.NETM,387685
Cayman Islands,CYM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.508
Cayman Islands,CYM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.77641822923059
Cayman Islands,CYM,Population growth (annual %),SP.POP.GROW,2.08009420729087
Cayman Islands,CYM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.052
Cayman Islands,CYM,Net migration,SM.POP.NETM,859
Central African Republic,CAF,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.09
Central African Republic,CAF,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.72290159793216
Central African Republic,CAF,Population growth (annual %),SP.POP.GROW,1.34469255324203
Central African Republic,CAF,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,31.53
Central African Republic,CAF,Net migration,SM.POP.NETM,-36849
Chad,TCD,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.412
Chad,TCD,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.04928608343727
Chad,TCD,Population growth (annual %),SP.POP.GROW,3.21991132048391
Chad,TCD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,52.993
Chad,TCD,Net migration,SM.POP.NETM,-29451
Channel Islands,CHI,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.35
Channel Islands,CHI,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.15023329351136
Channel Islands,CHI,Population growth (annual %),SP.POP.GROW,0.417438625700863
