Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2019 [YR2019]
Croatia,HRV,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.46,1.47
Croatia,HRV,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-1.11003223418777,4.12860062660076
Croatia,HRV,Population growth (annual %),SP.POP.GROW,-0.226821270818422,-0.992302961069294
Croatia,HRV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.4756097560976,78.2243902439024
Croatia,HRV,Net migration,SM.POP.NETM,-3995,-13239
Croatia,HRV,"Population, total",SP.POP.TOTL,4295427,3949390
Cuba,CUB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.673,1.54
Cuba,CUB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.36597236588088,0.0532186639248664
Cuba,CUB,Population growth (annual %),SP.POP.GROW,0.023813604568028,-0.216424863402489
Cuba,CUB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.876,77.413
Cuba,CUB,Net migration,SM.POP.NETM,-34121,-23955
Cuba,CUB,"Population, total",SP.POP.TOTL,11297409,11202846
Curacao,CUW,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.2,1.6
Curacao,CUW,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-1.17626862745298,-2.04109605237913
Curacao,CUW,Population growth (annual %),SP.POP.GROW,1.26551415533004,-1.19643951751799
Curacao,CUW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.117,76.492
Curacao,CUW,Net migration,SM.POP.NETM,242,-9595
Curacao,CUW,"Population, total",SP.POP.TOTL,148703,157441
Cyprus,CYP,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.434,1.33
Cyprus,CYP,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-0.357614019094044,4.44895560339916
