filename,predicted_class,confidence
cell_r17_c14_blob_1_word_1_char_00.png,2,0.991
cell_r17_c14_blob_1_word_3_char_00.png,9,0.5166
cell_r17_c15_blob_1_word_1_char_00.png,2,1.0
cell_r17_c15_blob_1_word_2_char_01.png,5,0.9996
cell_r17_c15_blob_1_word_5_char_00.png,0,0.5787
cell_r17_c17_blob_1_word_3_char_00.png,6,0.5545
cell_r17_c18_blob_1_word_1_char_00.png,5,0.5454
cell_r17_c18_blob_1_word_3_char_01.png,3,0.7541
cell_r17_c18_blob_1_word_4_char_02.png,2,0.9202
cell_r17_c6_blob_1_word_1_char_00.png,2,1.0
cell_r17_c6_blob_1_word_2_char_00.png,4,0.9983
cell_r17_c6_blob_1_word_2_char_01.png,6,0.9888
cell_r17_c6_blob_1_word_3_char_01.png,3,0.9591
cell_r17_c6_blob_1_word_4_char_00.png,6,0.9889
cell_r17_c8_blob_1_word_1_char_00.png,9,0.6833
cell_r18_c11_blob_1_word_1_char_00.png,7,0.8759
cell_r18_c11_blob_1_word_2_char_07.png,0,0.9998
cell_r18_c12_blob_1_word_1_char_01.png,7,0.7211
cell_r18_c15_blob_1_word_1_char_01.png,2,0.7408
cell_r18_c15_blob_1_word_2_char_03.png,3,0.5011
cell_r18_c15_blob_1_word_3_char_00.png,2,0.9991
cell_r18_c15_blob_1_word_3_char_02.png,7,0.5207
cell_r18_c17_blob_1_word_1_char_00.png,1,1.0
cell_r18_c17_blob_1_word_1_char_01.png,5,0.9615
cell_r18_c17_blob_1_word_1_char_02.png,0,0.9989
cell_r18_c17_blob_1_word_2_char_01.png,4,0.9684
cell_r18_c17_blob_1_word_3_char_02.png,2,0.9997
cell_r18_c17_blob_1_word_3_char_03.png,3,0.9961
cell_r18_c17_blob_1_word_3_char_04.png,5,0.987
cell_r18_c18_blob_1_word_1_char_00.png,2,0.9999
cell_r18_c18_blob_1_word_2_char_01.png,6,0.9553
cell_r18_c18_blob_1_word_3_char_01.png,9,0.5613
cell_r18_c18_blob_1_word_3_char_03.png,8,0.3849
cell_r18_c18_blob_1_word_3_char_04.png,2,0.9997
cell_r18_c1_blob_1_word_5_char_06.png,3,0.9856
cell_r18_c1_blob_1_word_6_char_02.png,6,0.9834
cell_r18_c1_blob_2_word_1_char_05.png,0,0.9826
cell_r19_c11_blob_1_word_3_char_02.png,0,0.9982
cell_r19_c11_blob_1_word_3_char_04.png,0,0.4728
cell_r19_c11_blob_1_word_4_char_00.png,0,0.9661
cell_r19_c11_blob_1_word_4_char_01.png,0,0.9977
cell_r19_c15_blob_1_word_1_char_00.png,3,0.9991
cell_r19_c15_blob_1_word_2_char_00.png,5,0.9864
cell_r19_c15_blob_1_word_3_char_03.png,5,0.9024
cell_r19_c15_blob_1_word_3_char_04.png,0,0.9927
cell_r19_c17_blob_1_word_4_char_04.png,5,0.5532
cell_r19_c18_blob_1_word_1_char_00.png,6,0.9992
cell_r19_c18_blob_1_word_2_char_00.png,4,0.974
cell_r19_c18_blob_1_word_2_char_01.png,5,0.9964
cell_r19_c18_blob_1_word_4_char_02.png,1,0.7704
cell_r19_c7_blob_1_word_1_char_00.png,1,0.995
cell_r19_c7_blob_1_word_1_char_02.png,5,0.9996
cell_r19_c7_blob_1_word_2_char_04.png,5,0.9366
cell_r1_c5_blob_3_word_1_char_00.png,6,0.9514
cell_r20_c11_blob_1_word_1_char_00.png,2,1.0
cell_r20_c11_blob_1_word_1_char_01.png,9,0.3056
cell_r20_c11_blob_1_word_2_char_00.png,2,0.9999
cell_r20_c11_blob_1_word_2_char_01.png,3,0.9982
cell_r20_c11_blob_1_word_3_char_00.png,2,0.9998
cell_r20_c11_blob_1_word_3_char_02.png,5,0.6801
cell_r20_c15_blob_1_word_1_char_00.png,2,1.0
cell_r20_c15_blob_1_word_1_char_01.png,5,0.4583
